,Period,P_err,Amplitude,A_err,T0,T0_err,off,off_err,Probability,False Alarm Probability
0,0.9891504402532417,0.0006258908287705254,4.0939934522960755,0.08668369536404477,1816.3807295480715,0.003333287346847647,-0.13981416713137723,0.06129462881022494,0.6644590582755154,1.504690046282024e-264
1,3.4058700678373826,0.057134912545329285,0.6038501169950307,0.08481694026662075,1814.5721199719287,0.07613803323643274,0.041891097792565286,0.059974633622021864,0.042606734064772694,2.501699332562385e-09
2,1.11504889419262,0.005131730584265877,0.580199874963609,0.08302538351362868,1816.5795882268906,0.025394946515377003,0.011377845184692805,0.05870781169310061,0.041799092332352,4.0132436162987494e-09
3,2.2339681400021103,0.02983722907504692,0.46312744500013836,0.08187004186313519,1815.009116313009,0.06285236169623966,0.013371859221242656,0.05789086177744942,0.027637404614561642,1.4955965414322637e-05
4,5.633270933498798,0.15948675384219624,0.479411912853118,0.0806357229215747,1815.7629750084786,0.15079933736466636,-0.008854749470578396,0.05701806648372499,0.029925825596386013,3.9925839537347725e-06
5,1.9722599232857851,0.02013143139499657,0.4313532504118901,0.07960911471600679,1816.2440588202758,0.05793139692595203,-0.0027527081998881156,0.05629214485994617,0.02530077420877108,5.742046843202104e-05
6,0.6184414970562583,0.002502496003935244,0.41012453070163585,0.07866479154396598,1816.0724117580226,0.018879192039588974,-0.0031007322863674303,0.05562440754136453,0.023583289313701572,0.00015403348417937946
7,0.4913579898256771,0.0016833661928319465,0.37980777172134933,0.07784549041889419,1816.0577530313897,0.016028311197616017,0.0011331213497687263,0.05504507415999249,0.020721711971544158,0.0007942679816211529
8,1.3506549410379363,0.011368461452777784,0.3743412048993769,0.07704772994499853,1815.4656848549077,0.04424424179428125,0.009236511081694855,0.05448097231913828,0.02039097565009974,0.0009597657923337184
9,0.5565585355389223,0.0021580507422666955,0.3661383610948897,0.07626559866849153,1816.1267989048933,0.018450767221713363,-0.0019411573260295829,0.053927921989742084,0.020199465173711406,0.0010708998572585072
10,1.018005029550119,0.006175010471696876,0.339634801867511,0.07558778747920428,1816.5031741295022,0.03605865333576725,0.0010724272286579371,0.05344863710143295,0.017696030046818717,0.004476206635289009
11,0.6709344400702185,0.003592607660954758,0.33140916607834575,0.07493351691867764,1816.366862176132,0.024144144261207708,0.003308861419703419,0.05298599795135384,0.01723661914864321,0.005817399238189282
12,0.7455346976968795,0.006051784411111184,0.3115063576624302,0.07435850044440832,1815.8104809469721,0.028323811827755133,0.002378607838629968,0.05257939990310403,0.015288491696186714,0.01749832875981605
13,0.9030636489609991,0.007389563764881153,0.29919416055101816,0.07381760510442471,1815.905981999017,0.03546053884236379,-0.0009911531053052262,0.052196929140289415,0.014495398863421192,0.027341053044767194
14,0.7072516560264638,0.00504602930493226,0.3180446621720288,0.07320657257066443,1815.8143714125342,0.025909323158006696,0.003504738046596052,0.051764863892141924,0.016486679343120626,0.008920961955433527
15,1.6049808760573787,0.024087170669714192,0.2819385514420565,0.07271940592644541,1815.7913552739833,0.06588489404771118,0.00038235210970458534,0.05142038505444676,0.013265084186007758,0.05426559134938613
16,0.9338716650810979,0.006518076451575057,0.28383232565444394,0.07222921946500926,1815.712889239627,0.037823211060957734,0.0018909330238154494,0.05107377088351942,0.013436147682495743,0.049365263217113875
17,3.079793252522151,0.07212368991977773,0.2790694120484665,0.07174462776547588,1815.782510315095,0.12601401354845934,0.006875090910728784,0.05073111280667265,0.01337315066053167,0.05111772025248762
18,0.45509055503942325,0.0019309066866699245,0.2616223629316832,0.07131954335062546,1815.9229576822504,0.01974475020904724,-0.0013728551242013728,0.0504305327343552,0.011814824967156488,0.11938075802387405
19,4.105795493197652,0.19496608160993412,0.24323353980667026,0.07095031126084536,1815.2355982545073,0.19061114500480703,0.007159526599286246,0.05016944621984002,0.010327500351836752,0.2559212895364884
20,0.8649420243438527,0.006867062013958231,0.24243158879109092,0.07058261930694658,1815.792130225551,0.04007889075552884,0.0007255577263693545,0.04990944874585045,0.010337916393154453,0.25462451275710274
21,0.5279793779572787,0.0030977471737392587,0.23436991457934334,0.07023608628390095,1816.1595240970616,0.025182308127397593,-0.0011515324253523515,0.04966441289534981,0.009795112613093028,0.32955439397229547
22,0.5755455298160025,0.0029184932725795283,0.2413226869001067,0.06986430081350749,1816.2496927724742,0.026518990135337272,-0.0009427117766371519,0.049401520868087974,0.010558716788088696,0.2283890438792452
23,1.293638848419457,0.01581100317536061,0.23678551331826916,0.06950711263634247,1815.7233122289904,0.06043761257023007,-0.0014236808975579256,0.04914895068585493,0.01019905997769408,0.27235884089439033
24,0.6519173064103662,0.004140309617680608,0.19879026634094274,0.0692548957455746,1815.9095864691358,0.03614664603241185,-0.001400251899966352,0.048970606412063175,0.007244130218568448,0.8177105250306385
